Country,Cluster
Armenia,1
Austria,0
Belarus,1
Belgium,0
Bolivia,1
Brazil,1
Bulgaria,0
Canada,0
China,1
Colombia,1
Costa Rica,0
Croatia,0
Cyprus,0
Czechia,0
Denmark,0
Dominican Republic,1
Ecuador,1
El Salvador,1
Estonia,0
Finland,0
France,0
Georgia,1
Germany,0
Greece,0
Honduras,1
Hungary,0
Iceland,0
Indonesia,1
Iran,1
Ireland,0
Israel,1
Italy,0
Japan,0
Kazakhstan,1
Kyrgyz Republic,1
Latvia,0
Lithuania,0
Moldova,1
Netherlands,0
North Macedonia,1
Norway,0
Panama,1
Paraguay,1
Peru,1
Poland,0
Portugal,0
Romania,0
Russian Federation,1
Slovak Republic,0
Slovenia,0
Spain,0
Sweden,0
Switzerland,0
Thailand,1
Turkiye,1
Ukraine,1
United Kingdom,0
United States,1
Uruguay,0
