Country,Year,total_pop,pop_dens_sq_km,urban_pop_perc,rural_pop_perc,elect_access_pop,ren_energy_cons_perc,clean_fuel_tech_cook_pop,co2_emiss_excl_lulucf,Gini coefficient (2021 prices),perceptions of criminality,homicide rate,police rate,incarceration rate,Access to small arms,intensity of internal conflict,violent demonstrations,Violent crime,Political instability,Political Terror Scale,weapons imports,terrorism impact,deaths from internal conflict,internal conflicts fought,military expenditure (% gdp),armed services personnel rate,un peacekeeping funding,nuclear and heavy weapons,weapons exports,refugees and idps,Neighbouring countries relations,external conflicts fought,deaths From external conflict,overall score,internal peace,external peace,safety and security,ongoing conflict,militarisation,"Agriculture, forestry, and fishing, value added (% of GDP)",Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Access to electricity (% of population),Adjusted savings: energy depletion (% of GNI),Adjusted savings: carbon dioxide damage (% of GNI),Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (annual % growth)",Cluster
Austria,2014.0,8591559.538461538,104.11487564786154,57.803538461538466,42.196461538461534,100.0,33.51538461538461,100.0,68.86525384615385,0.30513088615384615,1.8423076923076922,1.3574615384615383,2.6359230769230773,1.7866153846153845,2.0,1.0,1.6153846153846154,1.1153846153846154,1.0192307692307692,1.3461538461538463,1.5343076923076924,1.3367692307692307,1.0,1.0,1.3596923076923075,1.4661538461538461,1.2123846153846154,1.0532307692307692,1.4960769230769229,1.0,1.0,1.4500000000000002,1.0,1.3163076923076922,1.4149230769230767,1.168,1.4606923076923077,1.0412307692307692,1.458307692307692,1.2311398889912708,0.11513637619588156,0.04055316590087456,100.0,0.07169743552342077,0.5217103535748527,100.0,0.19933161347539752,0
Belgium,2014.0,11180855.846153846,368.1433211276727,97.82692307692308,2.1730769230769247,100.0,8.338461538461539,100.0,103.05848461538461,0.27672561153846154,2.430769230769231,2.2226923076923075,2.7424615384615385,1.7630769230769232,2.3076923076923075,1.0,1.6153846153846154,2.0,1.2115384615384615,1.1923076923076923,1.3676153846153847,1.6773076923076924,1.089923076923077,1.1700000000000002,1.459230769230769,1.4576923076923076,1.3982307692307692,1.1862307692307692,1.8710769230769233,1.0,1.0,1.7192307692307693,1.0,1.4971538461538463,1.6531538461538462,1.263153846153846,1.7503076923076923,1.1016153846153847,1.6153846153846154,0.736954475100823,0.03238663070168125,0.013158544351006577,100.0,0.01922808635067466,0.6264590970160797,100.0,1.5123265160094013,0
Bulgaria,2014.0,7214803.461538462,66.4566887536574,73.65330769230769,26.346692307692308,96.02307692307691,16.353846153846153,96.48953846153846,47.91072307692308,0.3761024430769231,2.9538461538461536,1.8793076923076923,3.0126923076923076,1.9462307692307694,3.0,1.0,1.7115384615384615,3.0,1.625,2.0384615384615383,1.3097692307692308,1.362769230769231,1.0,1.0,1.695,1.7143846153846154,1.6799230769230769,1.115,1.496,1.0081538461538462,1.0,1.6442307692307692,1.0,1.6411538461538462,1.8913846153846154,1.2655384615384615,2.053153846153846,1.059076923076923,1.7429999999999999,4.191488315270876,0.43886860985839615,0.0,96.02307692307691,0.15239940169439095,2.585717093260203,96.48953846153846,1.7678153067470872,0
Canada,2014.0,35502390.15384615,3.9598498429937297,81.17430769230769,18.825692307692307,100.0,22.207692307692305,100.0,578.6789692307692,0.3296116246153847,1.973076923076923,1.852,1.9698461538461538,1.9031538461538462,2.0,1.0,1.7884615384615385,1.0,1.0,1.0769230769230769,1.5360769230769231,1.5316153846153848,1.0,1.0,1.5894615384615385,1.2823076923076921,1.1378461538461537,2.0736923076923075,1.8722307692307691,1.000076923076923,1.1538461538461537,1.6826923076923077,1.0,1.393230769230769,1.4153846153846152,1.360153846153846,1.461230769230769,1.0936923076923077,1.701769230769231,1.748308416671167,0.5823116213297592,0.0,100.0,0.3873819794497875,1.15008073441962,100.0,2.4820344791869933,0
Costa Rica,2014.0,4757134.307692308,93.16753442405617,75.59769230769231,24.402307692307694,99.47692307692309,37.06923076923077,93.86923076923077,7.826446153846153,0.4869438323076923,3.623076923076923,3.9810769230769227,2.3005384615384616,3.590384615384615,4.0,1.0,1.2307692307692308,2.1923076923076925,1.0,1.5384615384615385,1.0016923076923077,1.0,1.0,1.0,1.3254615384615387,1.0,1.697,1.001153846153846,1.0067692307692306,1.002230769230769,2.269230769230769,1.0,1.0,1.7256153846153846,2.0111538461538463,1.297923076923077,2.1496153846153847,1.2554615384615386,1.6513076923076921,5.254390457346947,0.035262388698502,0.0,99.47692307692309,0.02924547802094694,0.5524890159958906,93.86923076923077,1.1138125513930872,0
Croatia,2014.0,4156861.0,74.27779504680205,56.02961538461538,43.97038461538462,100.0,30.430769230769233,100.0,19.087707692307692,0.31309636153846154,2.3692307692307693,1.5893076923076923,3.4180769230769235,1.7686153846153847,3.3846153846153846,1.0,1.1923076923076923,1.7307692307692308,2.105769230769231,1.1153846153846154,1.3083076923076922,1.0377692307692308,1.0,1.0,1.6610769230769231,1.614923076923077,1.5197692307692305,1.021,1.0046153846153847,1.4164615384615387,2.3461538461538463,1.448076923076923,1.0,1.592076923076923,1.6780769230769232,1.4626923076923077,1.7690769230769232,1.3121538461538462,1.672923076923077,3.2801873082600816,0.6861381837631977,0.19710377386997122,100.0,0.48902563152996525,1.0127435129001212,100.0,-1.371897606062253,0
Cyprus,2014.0,1199718.6923076923,129.83968531468537,67.15530769230769,32.844692307692306,100.0,9.576923076923077,100.0,7.337753846153846,0.32983456692307694,2.4346153846153844,1.557923076923077,3.2139230769230767,1.7171538461538463,2.0,2.0,1.4615384615384615,2.0,1.5192307692307692,1.6538461538461537,1.7547692307692309,1.1339230769230768,1.0,1.0,1.8571538461538462,2.8500769230769234,1.4245384615384613,1.0175384615384615,1.0,5.0,3.0,1.0,1.0,1.901,1.7398461538461538,2.142692307692308,2.2256153846153848,1.604,1.6366153846153846,1.9479740034297222,0.014846198188770662,0.0,100.0,0.003332532288223477,1.0361883143148451,100.0,-1.1078583908537825,0
Czechia,2014.0,10542763.538461538,136.52991386951138,73.50192307692308,26.498076923076926,100.0,13.5,100.0,111.06234615384616,0.25890183384615384,2.553846153846154,1.4467692307692308,2.9578461538461536,2.5899230769230766,1.0,1.3076923076923077,1.4038461538461537,1.5769230769230769,1.3846153846153846,1.0769230769230769,1.295076923076923,1.1013076923076923,1.0,1.0,1.536153846153846,1.3296153846153846,1.1673846153846155,1.0913846153846154,1.639846153846154,1.0034615384615384,1.0,1.7711538461538463,1.0,1.3980769230769232,1.5212307692307692,1.2132307692307693,1.6669230769230767,1.1326923076923077,1.2852307692307692,2.0349386153431785,0.2028297016781397,0.062281986116792205,100.0,0.14054771556134746,1.6897707704434561,100.0,3.336345464568205,0
Denmark,2014.0,5661606.538461538,141.54016346153847,87.35738461538462,12.642615384615386,100.0,29.053846153846152,100.0,38.54169230769231,0.2766525192307692,1.7653846153846153,1.4769230769230768,1.9645384615384616,1.5286153846153847,1.2307692307692308,1.0,1.2115384615384615,1.0,1.0096153846153846,1.0769230769230769,2.072,1.2411538461538463,1.0,1.0,1.5983846153846153,1.527,1.1354615384615383,1.2163846153846154,1.3174615384615385,1.0,1.3076923076923077,1.85,1.0,1.2712307692307692,1.273,1.268846153846154,1.2984615384615383,1.1398461538461537,1.4093846153846152,1.1542932568991273,0.7919215927663473,0.006937856653764638,100.0,0.7841238600060686,0.3664912667534902,100.0,0.4370036518971378,0
Estonia,2014.0,1324056.5384615385,30.916875941728886,68.45030769230769,31.549692307692307,100.0,27.16923076923077,100.0,19.670638461538463,0.3203553507692308,2.4,2.6785384615384613,2.459,2.8298461538461543,2.0,1.0,1.0576923076923077,2.0,1.5865384615384615,1.1153846153846154,1.9093846153846152,1.2369999999999999,1.0,1.0,1.9334615384615386,1.6660000000000001,1.377153846153846,1.0033076923076922,1.008,1.0073846153846153,2.923076923076923,1.8115384615384615,1.0,1.6360000000000001,1.695153846153846,1.5475384615384615,1.8311538461538461,1.4616153846153848,1.5179999999999998,2.739949760856938,0.6863414690454888,0.0,100.0,0.6863414690454888,2.2197262372701445,100.0,-0.33496174861413575,0
Finland,2014.0,5443697.769230769,17.91237650794213,84.77861538461539,15.221384615384617,100.0,40.06923076923077,100.0,50.947161538461536,0.2734136046153846,1.8115384615384615,1.8996153846153847,1.727923076923077,1.4633076923076922,2.0,1.0,1.3461538461538463,1.0,1.0576923076923077,1.0,2.5757692307692306,1.1436923076923078,1.0,1.0,1.6750769230769231,1.6665384615384615,1.1202307692307694,1.1603076923076923,2.6523846153846153,1.0,1.3076923076923077,1.5365384615384616,1.0,1.3757692307692309,1.3640769230769232,1.393230769230769,1.3283846153846153,1.111076923076923,1.8537692307692308,2.189648253421033,0.07337597351988003,0.0,100.0,0.02254829740997146,0.6096533839886475,100.0,1.4289096472469445,0
France,2014.0,66134474.307692304,120.78098592053863,79.40484615384615,20.59515384615385,100.0,13.246153846153845,100.0,344.9548384615385,0.3238953107692308,2.3576923076923078,1.6573846153846152,2.5563076923076924,1.8426153846153848,2.0,1.0,2.230769230769231,1.6538461538461537,1.2788461538461537,1.5384615384615385,1.0679230769230768,2.535307692307692,1.231923076923077,1.3157692307692308,1.922153846153846,1.5365384615384616,1.2186153846153844,5.0,4.769615384615384,1.0,1.0,2.2096153846153848,1.0,1.8155384615384615,1.6654615384615385,2.0404615384615385,1.7806923076923078,1.1902307692307692,2.752846153846154,1.4407872717890637,0.009245482564700792,0.0017659153779479848,100.0,0.007297852101280107,0.3925952692362865,100.0,0.4335761515764797,0
Germany,2014.0,81843857.07692307,234.53666717158177,77.14138461538461,22.858615384615383,100.0,13.984615384615385,100.0,766.9373307692308,0.31225704000000004,2.169230769230769,1.4870769230769232,2.5053846153846155,1.6348461538461538,2.0,1.0,2.480769230769231,2.0,1.0,1.0,1.1380000000000001,2.082923076923077,1.036923076923077,1.064923076923077,1.546230769230769,1.385076923076923,1.1571538461538462,2.053153846153846,4.07123076923077,1.0,1.0,1.728846153846154,1.0,1.5587692307692307,1.549,1.573230769230769,1.6613846153846152,1.081,2.0486153846153847,0.8127550891400044,0.05816671866189636,0.0,100.0,0.05366720901810237,0.6550295267588535,100.0,0.9371253183903632,0
Greece,2014.0,10909102.23076923,84.63229038610729,77.67846153846155,22.321538461538463,100.0,14.946153846153846,100.0,75.82153846153847,0.34552208384615385,3.1500000000000004,1.5894615384615385,3.312846153846154,1.8156923076923077,3.0,2.6153846153846154,3.0,2.0,1.5961538461538463,2.1538461538461537,3.6673846153846155,2.2103076923076923,1.0,1.0,2.2704615384615385,3.031538461538461,1.8196153846153846,1.960923076923077,1.0516153846153846,1.0,2.3076923076923075,1.4365384615384615,1.0,1.9854615384615384,2.1992307692307693,1.6653076923076924,2.106307692307692,1.6284615384615386,2.3303846153846153,3.4033816269857784,0.07510957258777363,0.010606353520392001,100.0,0.04738534059648117,1.052495452567314,100.0,-0.16150622368195017,0
Hungary,2014.0,9881105.461538462,108.768554078463,70.13907692307693,29.86092307692308,100.0,14.338461538461539,100.0,50.19667692307692,0.30069800307692307,2.8346153846153848,1.7792307692307692,2.0205384615384614,2.340692307692308,1.0,2.0,1.5961538461538463,1.9230769230769231,1.3653846153846154,1.7307692307692308,1.270230769230769,1.0915384615384616,1.0,1.0,1.497076923076923,1.416692307692308,1.3525384615384615,1.0500769230769231,1.1043846153846153,1.0073076923076922,1.9230769230769231,1.5596153846153844,1.0,1.521,1.6580000000000001,1.3153846153846156,1.7584615384615385,1.4385384615384615,1.208,3.595934884919209,0.2781859282931285,0.0,100.0,0.2781493165598523,1.1228214215900947,100.0,3.503541480104995,0
Iceland,2014.0,333402.6923076923,3.3209468778408344,93.67238461538462,6.3276153846153855,100.0,78.43076923076923,100.0,3.5083615384615383,0.2722985976923077,1.7346153846153847,1.2453846153846155,2.0793846153846154,1.3493076923076923,1.0,1.0,1.2307692307692308,1.0,1.0192307692307692,1.0,1.8193846153846154,1.0,1.0,1.0,1.1033846153846154,1.0,1.232846153846154,1.0003076923076923,1.0,1.0003076923076923,1.0,1.4326923076923077,1.0,1.1480769230769232,1.2079230769230769,1.0586923076923076,1.2424615384615385,1.0394615384615384,1.1359230769230768,5.195512613600465,0.04583471784265055,0.011219333227265954,100.0,0.0,0.38563071536124804,100.0,1.4210961874540224,0
Ireland,2014.0,4699843.461538462,68.2224337572719,62.356923076923074,37.643076923076926,100.0,8.476923076923077,100.0,38.278976923076925,0.31800599615384617,2.326923076923077,1.5216153846153846,2.491153846153846,1.6679230769230768,2.0,2.0,1.4423076923076923,2.0,1.0576923076923077,1.0384615384615385,1.2423846153846154,1.359923076923077,1.0,1.0,1.2029999999999998,1.3186923076923078,1.1136153846153847,1.0046923076923078,1.7541538461538464,1.0,1.0,1.3846153846153846,1.0,1.409,1.5773846153846154,1.1563846153846153,1.5582307692307693,1.2366153846153847,1.4136153846153845,0.9538444857439669,0.05376649093604334,0.0,100.0,0.02782482888890657,0.5471184599620236,100.0,5.854284578188018,0
Italy,2014.0,59894326.76923077,202.53876249557047,69.368,30.632,100.0,15.23076923076923,100.0,371.46965384615385,0.3489808223076923,2.8346153846153848,1.4266153846153846,3.2717692307692308,1.7838461538461539,3.0,1.0,2.423076923076923,3.0,1.5769230769230769,1.7692307692307692,1.3163846153846153,1.801153846153846,1.0,1.0,1.6757692307692307,1.4530769230769232,1.2723846153846154,2.5676153846153844,2.482769230769231,1.0,1.0,1.7000000000000002,1.0,1.7246923076923077,1.8886153846153846,1.479153846153846,2.048,1.0640769230769231,2.0933076923076923,1.8851515676432424,0.07798523391088857,0.0011433764214689155,100.0,0.0767454246012653,0.5704637321533096,100.0,-0.42849379981698554,0
