Country,Country_Code,Year,total_pop,pop_dens_sq_km,urban_pop_perc,rural_pop_perc,elect_access_pop,ren_energy_cons_perc,clean_fuel_tech_cook_pop,co2_emiss_excl_lulucf,Gini coefficient (2021 prices),perceptions of criminality,homicide rate,police rate,incarceration rate,Access to small arms,intensity of internal conflict,violent demonstrations,Violent crime,Political instability,Political Terror Scale,weapons imports,terrorism impact,deaths from internal conflict,internal conflicts fought,military expenditure (% gdp),armed services personnel rate,un peacekeeping funding,nuclear and heavy weapons,weapons exports,refugees and idps,Neighbouring countries relations,external conflicts fought,deaths From external conflict,overall score,internal peace,external peace,safety and security,ongoing conflict,militarisation,"Agriculture, forestry, and fishing, value added (% of GDP)",Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Access to electricity (% of population),Adjusted savings: energy depletion (% of GNI),Adjusted savings: carbon dioxide damage (% of GNI),Access to clean fuels and technologies for cooking (% of population),"Agriculture, forestry, and fishing, value added (annual % growth)"
Armenia,ARM,2008,3087100.0,108.433438707411,63.64,36.36,99.2,6.4,94.9,5.6482,0.2918814,2.0,2.16,2.5,1.944,4.0,2.0,1.0,3.0,3.75,2.0,1.553,1.024,1.0,1.0,2.683,3.312,2.329,1.032,1.037,1.171,5.0,1.25,1.0,2.124,2.117,2.135,2.138,2.029,2.233,17.0,0.20152935129886,0.20152935129886,99.2,0.0,1.23615941244643,94.9,3.00000001153913
Armenia,ARM,2009,3066000.0,107.692307692308,63.54,36.46,99.3,7.8,95.6,4.5018,0.2801588,2.1,2.147,2.5,1.944,4.0,2.0,1.0,3.0,3.75,2.5,1.556,1.024,1.0,1.0,2.683,3.312,2.329,1.032,1.037,1.182,5.0,1.375,1.0,2.157,2.164,2.147,2.206,2.041,2.233,19.0,0.347525102208512,0.327671638466543,99.3,0.0,1.38291022404913,95.6,5.92255381679058
Armenia,ARM,2010,3044800.0,106.947664207938,63.44,36.56,99.8,9.4,96.1,4.2988,0.29992583,2.1,2.319,2.5,2.286,4.0,2.0,1.0,3.0,3.75,3.0,1.221,1.024,1.0,1.0,3.275,3.312,2.329,1.032,1.037,1.202,5.0,1.7,1.0,2.224,2.228,2.218,2.317,2.071,2.264,16.9,1.58088088258868,0.284005045030102,99.8,0.0,1.27621271967291,96.1,-15.9057766287429
Armenia,ARM,2011,3027900.0,106.354056902002,63.34,36.66,99.5,8.0,96.6,4.9037,0.29352945,1.95,2.323,2.5,2.286,4.0,2.0,1.0,3.0,3.0,2.5,1.467,1.024,1.0,1.0,2.955,3.418,1.479,1.033,1.037,1.198,5.0,1.7,1.0,2.132,2.125,2.142,2.157,2.071,2.168,22.0,1.91609483976115,0.438087952436912,99.5,0.0,1.40306264921847,96.6,14.0000000035935
Armenia,ARM,2012,3024100.0,106.220583069898,63.24,36.76,99.5,6.6,96.8,5.6692,0.29602262,2.1,1.956,2.5,2.214,4.0,2.0,1.0,3.0,3.25,2.5,1.492,1.024,1.0,1.0,2.864,3.41,1.0,1.033,1.0,1.186,5.0,1.7,1.0,2.111,2.121,2.096,2.149,2.071,2.096,17.9126819526397,0.975899939721712,0.339468858485633,99.5,0.0,1.60944519581244,96.8,9.50000000852515
Armenia,ARM,2013,3022000.0,106.146821215314,63.164,36.836,99.4,6.8,97.1,5.4813,0.30579662,1.95,2.107,2.5,2.214,4.0,2.0,1.0,3.0,3.25,3.0,1.487,1.012,1.36,1.053,2.783,3.4,1.0,1.033,1.0,1.18,5.0,1.7,1.0,2.159,2.206,2.088,2.211,2.149,2.085,18.4347628834968,0.695341106218562,0.219209785594801,99.4,0.0,1.50617951643364,97.1,7.60000000000001
Armenia,ARM,2014,3013800.0,105.858798735511,63.112,36.888,99.7,7.1,97.3,5.4722,0.3148329,1.85,2.056,2.5,2.048,3.0,2.0,1.0,2.5,3.25,2.5,1.563,1.0,1.04,1.105,2.969,3.3,1.041,1.033,1.0,1.135,5.0,1.7,1.0,2.042,2.01,2.091,2.058,2.09,1.932,18.0720363470662,0.26569616776989,0.230507585774177,99.7,0.0,1.52093530561579,97.3,6.10000000608035
Armenia,ARM,2015,3004600.0,105.535651563049,63.085,36.915,100.0,10.7,97.5,5.3342,0.32356772,1.75,2.039,2.5,2.048,3.0,2.0,1.5,2.0,3.0,3.0,1.345,1.0,1.0,1.105,2.922,2.344,1.86,1.033,1.0,1.134,5.0,1.5,1.0,2.024,1.999,2.062,2.061,2.063,1.885,17.2231200318056,0.513002231156997,0.253862985088817,100.0,0.0,1.69086839286556,97.5,13.1999999973409
Armenia,ARM,2016,2992300.0,105.103617843344,63.082,36.918,99.8,13.2,97.6,5.0789,0.32547948,1.65,2.116,2.5,2.024,3.0,2.0,1.25,2.0,3.0,3.0,1.099,1.0,1.64,1.158,2.888,3.331,1.518,1.033,1.0,1.127,5.0,1.825,1.0,2.077,2.042,2.13,2.037,2.227,1.928,16.39047353385,0.216780401516851,0.216780401516851,99.8,0.0,1.68722361918755,97.6,-4.99999999898749
Armenia,ARM,2017,2979400.0,104.650509308044,63.103,36.897,99.7,12.6,97.7,5.3808,0.3362184,1.7,2.142,2.5,2.024,3.0,2.0,1.5,2.0,3.0,2.5,1.597,1.169,1.16,1.211,2.955,3.333,1.334,1.035,1.0,1.121,5.0,1.8,1.0,2.048,2.001,2.119,2.017,2.134,1.973,14.9942601242776,0.237460142323514,0.237460138229931,99.7,4.09358326137727e-09,1.68381423562639,97.7,-5.10000000285633
Armenia,ARM,2018,2969000.0,104.285212504391,63.149,36.851,99.9,11.1,97.8,5.6947,0.344335,1.9,2.245,2.5,1.944,3.0,2.0,1.25,2.0,3.0,3.0,1.683,1.093,1.0,1.158,2.802,3.336,1.334,1.037,1.0,1.122,5.0,1.725,1.0,2.056,2.024,2.103,2.072,2.089,1.966,13.9423116554146,0.681367168443602,0.267995277542069,99.9,6.9336091218544606e-09,1.76730643047416,97.8,-6.90000000487413
Armenia,ARM,2019,2962500.0,104.056902002107,63.219,36.781,100.0,10.3,97.9,6.182,0.30031213,1.45,2.1,2.5,1.944,3.0,2.0,1.75,2.0,2.875,2.5,1.608,1.049,1.04,1.105,2.969,3.34,1.0,1.036,1.0,1.125,5.0,1.9,1.0,2.018,1.959,2.106,1.983,2.108,1.938,11.5256107379588,1.19439913303945,0.249911436603519,100.0,4.6571193468150105e-09,1.82336418768696,97.9,-5.79999999951748
Armenia,ARM,2020,2961500.0,104.021777309449,63.313,36.687,100.0,8.4,97.9,6.7038,0.25131604,1.45,1.859,2.5,1.595,3.0,2.0,1.75,2.0,2.75,3.0,2.79,1.024,1.08,1.105,3.261,3.345,1.0,1.043,1.0,1.125,3.0,1.875,1.0,1.91,2.001,1.772,1.967,1.711,2.113,11.3498051554549,1.11623285694115,0.274493063786905,100.0,4.3661940875878206e-09,1.90503243130788,97.9,-3.69999999446789
Austria,AUT,2008,8321496.0,100.842171594765,57.966,42.034,100.0,29.7,100.0,74.5096,0.30437094,1.9,1.369,2.61,1.778,2.0,1.0,1.5,1.0,1.0,2.0,1.662,1.384,1.0,1.0,1.33,1.735,1.122,1.056,1.449,1.0,1.0,1.125,1.0,1.336,1.461,1.148,1.518,1.011,1.483,1.38504114785417,0.175748515092689,0.0583043503539372,100.0,0.113084758281736,0.43571870188328,100.0,7.47172069844963
