country,country_code,year,total_pop,pop_dens_sq_km,urban_pop_perc,rural_pop_perc,elect_access_pop,ren_energy_cons_perc,clean_fuel_tech_cook_pop,co2_emiss_excl_lulucf
Armenia,ARM,2008,3087100.0,108.433438707411,63.64,36.36,99.2,6.4,94.9,5.6482
Armenia,ARM,2009,3066000.0,107.692307692308,63.54,36.46,99.3,7.8,95.6,4.5018
Armenia,ARM,2010,3044800.0,106.947664207938,63.44,36.56,99.8,9.4,96.1,4.2988
Armenia,ARM,2011,3027900.0,106.354056902002,63.34,36.66,99.5,8.0,96.6,4.9037
Armenia,ARM,2012,3024100.0,106.220583069898,63.24,36.76,99.5,6.6,96.8,5.6692
Armenia,ARM,2013,3022000.0,106.146821215314,63.164,36.836,99.4,6.8,97.1,5.4813
Armenia,ARM,2014,3013800.0,105.858798735511,63.112,36.888,99.7,7.1,97.3,5.4722
Armenia,ARM,2015,3004600.0,105.535651563049,63.085,36.915,100.0,10.7,97.5,5.3342
Armenia,ARM,2016,2992300.0,105.103617843344,63.082,36.918,99.8,13.2,97.6,5.0789
Armenia,ARM,2017,2979400.0,104.650509308044,63.103,36.897,99.7,12.6,97.7,5.3808
Armenia,ARM,2018,2969000.0,104.285212504391,63.149,36.851,99.9,11.1,97.8,5.6947
Armenia,ARM,2019,2962500.0,104.056902002107,63.219,36.781,100.0,10.3,97.9,6.182
Armenia,ARM,2020,2961500.0,104.021777309449,63.313,36.687,100.0,8.4,97.9,6.7038
Austria,AUT,2008,8321496.0,100.842171594765,57.966,42.034,100.0,29.7,100.0,74.5096
Austria,AUT,2009,8343323.0,101.106677169171,57.683,42.317,100.0,31.3,100.0,67.9079
Austria,AUT,2010,8363404.0,101.350024236549,57.399,42.601,100.0,31.1,100.0,73.581
Austria,AUT,2011,8391643.0,101.692232186137,57.115,42.885,100.0,31.6,100.0,71.9557
Austria,AUT,2012,8429991.0,102.156943771207,57.147,42.853,100.0,34.4,100.0,68.8985
Austria,AUT,2013,8479823.0,102.760821619001,57.336,42.664,100.0,34.6,100.0,69.4999
