region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Sub-Saharan Africa,SSF,Angola,AGO,2000,national,HBS,national,2000.21,consumption,0,2000,3,0.269546383,0.119154953,0.070648353,0.197389547,8.380260818,5.300380177,0.50949194,0.519451485,0.464338922,0.00990998,0.021986982,0.033416204,0.045094892,0.056466058,0.070482036,0.088172536,0.113397686,0.159391666,0.40168196,0.006580985,203.688736,16310860.19,1932.988479,,FALSE,micro,survey,3.95,0.371469199,9.60920242,
Sub-Saharan Africa,SSF,Angola,AGO,2008,national,IBEP-MICS,national,2008.5,consumption,1,2008,3,0.220795824,0.066666664,0.029028003,0.090521005,7.401681959,5.334157887,0.311631502,0.42715515,0.39136525,0.020722705,0.033564172,0.043176168,0.053027306,0.06542599,0.079237582,0.096511888,0.122976103,0.162341589,0.323016498,0.14063645,203.688736,21996714,3193.287723,1268.614278,FALSE,micro,survey,3.967,0.353358036,6.838755592,
Sub-Saharan Africa,SSF,Angola,AGO,2018,national,IDREA,national,2018.17,consumption,2,2018,3,0.392947051,0.162988508,0.089305909,0.251977413,6.218052215,3.879510322,0.476374936,0.51264289,0.470981519,0.013346549,0.024281606,0.03332952,0.043437213,0.055829117,0.069809077,0.088693035,0.11567612,0.159380394,0.396217368,0.571606031,203.688736,31480496.09,2775.746423,1605.110432,FALSE,micro,survey,3.24,0.421619033,10.96424215,
Europe & Central Asia,ECS,Albania,ALB,1996,national,EWS,national,1996,consumption,0,1996,3,0.029678411,0.00439779,0.00117603,0.005225517,8.442032598,7.419330487,0.119104327,0.27010342,0.241293272,0.038817883,0.052792297,0.063706567,0.075240257,0.083462238,0.092457305,0.107789613,0.126116176,0.152507706,0.207109957,0.37247661,50.77230453,3168033,1683.769655,1522.871873,FALSE,micro,survey,5.01,0.203901937,4.209428087,
Europe & Central Asia,ECS,Albania,ALB,2002,national,LSMS,national,2002,consumption,1,2002 - 2012,3,0.041947222,0.007203282,0.002111,0.008771352,8.628333842,7.117154481,0.1648116,0.317389798,0.268981639,0.035234534,0.048484451,0.058520715,0.067376298,0.076407873,0.088384439,0.102324653,0.119868982,0.149999216,0.253398839,0.653954785,50.77230453,3051010,2297.108535,1572.29546,FALSE,micro,survey,4.859,0.224403964,4.429309761,
Europe & Central Asia,ECS,Albania,ALB,2005,national,LSMS,national,2005,consumption,1,2002 - 2012,3,0.026502176,0.004060548,0.001064328,0.004772068,9.753929077,8.300111389,0.154412756,0.305956557,0.254528657,0.034870462,0.049362953,0.059658204,0.069354656,0.079654227,0.090390908,0.104065136,0.121028739,0.148298449,0.243316266,0.702719969,50.77230453,3011487,2712.869838,1969.241694,FALSE,micro,survey,5.45,0.209975051,3.860996725,
Europe & Central Asia,ECS,Albania,ALB,2008,national,LSMS,national,2008,consumption,1,2002 - 2012,3,0.008273079,0.001359682,3.86E-04,0.001618207,10.68207107,8.939033294,0.148893381,0.299846704,0.247311113,0.037382981,0.051433949,0.06098502,0.069847255,0.079011326,0.089379473,0.10288302,0.119204651,0.145468019,0.244404306,0.764380298,50.77230453,2947314,3345.981618,2735.224128,FALSE,micro,survey,5.77,0.172609817,3.450627986,
Europe & Central Asia,ECS,Albania,ALB,2012,national,LSMS,national,2012,consumption,1,2002 - 2012,3,0.017945902,0.003803908,0.001289322,0.004767185,10.12771746,8.768967218,0.138417068,0.289604846,0.249987921,0.036604353,0.05192536,0.061460826,0.070334993,0.080799745,0.092617752,0.10513341,0.122924904,0.148902113,0.229296543,0.854852363,50.77230453,2900401,3720.228765,2875.740716,FALSE,micro,survey,5.684,0.189182047,3.634575084,
Europe & Central Asia,ECS,Albania,ALB,2014,national,HBS,national,2014,consumption,2,2014 - 2017,3,0.036761395,0.006353305,0.001668128,0.007431193,10.7918276,8.827485135,0.198661566,0.345988965,0.324309702,0.028540807,0.041743442,0.052298415,0.06304867,0.075132676,0.089338199,0.105912036,0.127275531,0.161268537,0.255441687,0.885584231,50.77230453,2889104,3883.632628,3030.085146,FALSE,micro,survey,5.714,0.254353267,3.839190184,
Europe & Central Asia,ECS,Albania,ALB,2015,national,HBS,national,2015,consumption,2,2014 - 2017,3,0.011148642,0.001209949,1.93E-04,0.001322194,13.03074171,10.68734541,0.17549547,0.327537318,0.300363766,0.031547364,0.045467808,0.055666923,0.065791516,0.076198266,0.088866305,0.104759012,0.12525942,0.158704783,0.247738603,0.902376435,50.77230453,2880703,3981.726623,3090.925034,FALSE,micro,survey,6.644,0.202021192,3.029822473,
